id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
887,Graduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Consultant Psychologist,Research Methodology|Therapy Techniques (CBT)|Psychological Assessment,Confidentiality|Active Listening|Patience,Counseling|Abnormal Psychology|Cognitive Psychology,Mental Health First Aid|Counseling Diploma,Medium,High,55000,85000-360000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
888,Graduate,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Inventory Management|Property Management Systems|Event Planning,Cultural Awareness|Customer Service|Interpersonal Skills,Food & Beverage Management|HR in Hospitality|Hospitality Operations,Food Safety Certification|Language Diplomas,High,Medium,80000,110000-260000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
889,A/L Completed,Arts Stream - Logic/Media focus,BSc Digital Marketing,Marketing,Marketing Assistant,Digital Marketing Executive,Marketing Director,Content Creation|Google Analytics|Social Media Ads,Creativity|Communication|Empathy,Consumer Behavior|Brand Management|Digital Strategy,Google Digital Garage|HubSpot Inbound Marketing,High,High,80000,110000-610000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
890,Graduate,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,SEO Trainee,Content Strategist,Marketing Director,SEO/SEM|Social Media Ads|Google Analytics,Communication|Creativity|Adaptability,Brand Management|Consumer Behavior|Digital Strategy,Meta Blueprint|HubSpot Inbound Marketing,High,High,90000,120000-490000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
891,Diploma Holder,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Assistant Psychologist,Clinical Psychologist,Director of Mental Health Services,Research Methodology|Therapy Techniques (CBT)|Psychological Assessment,Confidentiality|Patience|Active Listening,Counseling|Abnormal Psychology|Developmental Psychology,Mental Health First Aid|Counseling Diploma,Medium,High,55000,85000-460000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
892,Diploma Holder,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,Resort Manager,Inventory Management|Languages|Event Planning,Cultural Awareness|Customer Service|Problem Solving,Food & Beverage Management|HR in Hospitality|Hospitality Operations,Food Safety Certification|Language Diplomas,High,Medium,95000,125000-230000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
893,Diploma Holder,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Tour Guide,Event Manager,Director of Tourism,Property Management Systems|Languages|Inventory Management,Customer Service|Cultural Awareness|Interpersonal Skills,HR in Hospitality|Tourism Marketing|Food & Beverage Management,IATA Certification|Language Diplomas,High,Medium,85000,115000-550000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
894,A/L Completed,Commerce Stream - Business focus,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,UI/UX Designer,Lead Product Designer,Photoshop|Typography|Color Theory,Time Management|Attention to Detail|Receptivity to Feedback,Visual Communication|Design Principles|Digital Art,Google UX Design|Adobe Certified Professional,High,High,65000,95000-360000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
895,Undergraduate,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Logistics Coordinator,Logistics Analyst,Procurement Director,ERP Software (SAP/Oracle)|Data Analysis|Inventory Management,Problem Solving|Negotiation|Leadership,Global Supply Chain|Transportation Management|Procurement,Six Sigma|CIPS,High,High,80000,110000-230000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
896,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Civil Engineering,Civil Engineering,Structural Trainee,Civil Engineer,Engineering Director,Structural Analysis|Project Management|AutoCAD,Teamwork|Problem Solving|Leadership,Fluid Mechanics|Geotechnical Engineering|Materials Science,PMP|AutoCAD Certification,Medium,Medium,85000,115000-500000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
897,A/L Pending,Biological Science Stream - Chemistry focus,BBA Business Management,Business Operations,Operations Assistant,Operations Manager,Operations Director,Project Management|Data Analysis|Budgeting,Negotiation|Problem Solving|Leadership,Strategic Management|Marketing|HR,PMP|Certified Business Analysis Professional (CBAP),Medium,High,80000,110000-390000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
898,O/L Completed,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Social Media Coordinator,Digital Marketing Executive,Marketing Director,Content Creation|Social Media Ads|Google Analytics,Creativity|Communication|Adaptability,Brand Management|Market Research|Digital Strategy,HubSpot Inbound Marketing|Google Digital Garage,High,High,70000,100000-240000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
899,Career Switcher,Design & Multimedia Interest,BA Graphic Design / Diploma in Multimedia,Design,UI/UX Intern,Art Director,Lead Product Designer,Figma|Color Theory|Adobe Illustrator,Attention to Detail|Receptivity to Feedback|Time Management,Design Principles|User Experience|Visual Communication,Google UX Design|Adobe Certified Professional,High,High,50000,80000-550000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
900,Graduate,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Procurement Trainee,Warehouse Manager,Director of Operations,ERP Software (SAP/Oracle)|Inventory Management|Freight Forwarding,Negotiation|Time Management|Problem Solving,Procurement|Inventory Control|Transportation Management,CIPS|CSCP,High,High,95000,125000-680000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
901,Graduate,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Structural Trainee,Structural Engineer,Senior Civil Engineer,Surveying|AutoCAD|Structural Analysis,Teamwork|Problem Solving|Risk Management,Materials Science|Fluid Mechanics|Structural Design,Chartered Engineer (CEng)|PMP,Medium,Medium,80000,110000-550000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
902,Undergraduate,Background in IT / Programming,BSc Computer Science,Software Engineering,Associate Software Engineer,Full Stack Developer,Tech Lead,Problem Solving|Algorithms|Git,Time Management|Teamwork|Critical Thinking,Databases|Math for CS|Operating Systems,Scrum Master|AWS Certified Developer,Very High,Very High,100000,130000-500000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
903,Undergraduate,Background in Medicine,MBBS Medicine,Healthcare - Medical,Pre-Intern Medical Officer,Registrar,Chief Medical Officer,Medical Procedures|Patient Care|Diagnosis,Ethics|Empathy|Communication,Physiology|Surgery|Pathology,USMLE|MRCP,Very High,Very High,205000,235000-1920000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
904,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Design Intern,Architect,Senior Architect,SketchUp|Revit|AutoCAD,Creativity|Communication|Visualization,History of Architecture|Structural Design|Architectural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,85000,115000-480000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
905,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Farm Supervisor,Plantation Manager,Estate Superintendent,"Soil Science|Pest Control|Agri-Tech (IoT, Drones)",Problem Solving|Physical Endurance|Adaptability,Agricultural Economics|Plant Biotechnology|Crop Science,GAP Certification|Pesticide Application License,Medium,Low,60000,90000-230000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
906,A/L Completed,Arts Stream - History focus,BSc Accounting and Finance,Finance,Audit Trainee,Financial Analyst,Chief Financial Officer (CFO),ERP Systems|Financial Reporting|Excel,Ethics|Analytical Thinking|Attention to Detail,Corporate Finance|Management Accounting|Economics,CMA|CA Sri Lanka,High,High,70000,100000-370000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
907,Undergraduate,Background in Psychology & Counseling,BA/BSc Psychology,Psychology,Assistant Psychologist,Organizational Psychologist,Consultant Psychologist,Research Methodology|Psychological Assessment|Therapy Techniques (CBT),Confidentiality|Patience|Active Listening,Developmental Psychology|Abnormal Psychology|Counseling,Clinical Psychology Masters|Counseling Diploma,Medium,High,55000,85000-490000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
908,Career Switcher,Law & Justice Interest,LLB Law,Legal Services,Junior Lawyer,Legal Consultant,Chief Legal Officer,Drafting Contracts|Compliance|Litigation,Analytical Thinking|Argumentation|Public Speaking,Contract Law|Constitutional Law|Criminal Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,95000,125000-250000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
909,A/L Completed,Biological Science Stream - Biology focus,MBBS Medicine,Healthcare - Medical,Medical Intern,Registrar,Consultant Specialist,Medical Procedures|Patient Care|Pharmacology,Decision Making Under Pressure|Ethics|Empathy,Surgery|Physiology|Anatomy,MD/MS (Sri Lanka)|USMLE,Very High,Very High,230000,260000-1070000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
910,O/L Completed,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Marketing Assistant,SEO Specialist,Head of Digital,SEO/SEM|Social Media Ads|Google Analytics,Empathy|Adaptability|Creativity,Market Research|Consumer Behavior|Digital Strategy,HubSpot Inbound Marketing|Google Digital Garage,High,High,110000,140000-500000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
911,Career Switcher,Business Management Interest,BBA Business Management,Business Operations,Operations Assistant,Business Analyst,Chief Operating Officer,Data Analysis|Project Management|Budgeting,Decision Making|Leadership|Problem Solving,Marketing|Strategic Management|Organizational Behavior,Certified Business Analysis Professional (CBAP)|PMP,Medium,High,95000,125000-450000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
912,Undergraduate,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Social Media Coordinator,Digital Marketing Executive,Head of Digital,Content Creation|Social Media Ads|Google Analytics,Empathy|Communication|Creativity,Consumer Behavior|Brand Management|Market Research,HubSpot Inbound Marketing|Google Digital Garage,High,High,70000,100000-510000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
913,Undergraduate,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Data Scientist,Chief Data Officer,SQL|Machine Learning|Data Viz,Curiosity|Business Acumen|Presentation,Probability|Linear Algebra|Big Data,IBM Data Science|AWS Machine Learning,High,Very High,145000,175000-740000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
914,O/L Completed,Business Management Interest,BBA Business Management,Business Operations,Management Trainee,Project Manager,General Manager,Budgeting|Project Management|Strategic Planning,Problem Solving|Leadership|Negotiation,Marketing|Strategic Management|Organizational Behavior,Agile PM|PMP,Medium,High,140000,170000-290000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
